code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So,Tomo Kan (Segue),Tomo Kan (Diangassagou),"Tommo So (Tongo Tongo, combined)","Tommo So (Tongo Tongo, JH)",,"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,family,book p.,synonymy,comment,domain,specimen
fauna,mammal (bat),faune,mammiphère (bat),201,62,10,,,60734,,,2012,,house bat,chauve-souris des maisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kóŋ-kàràbà,,,,,,Scotophilus sp.,"Mammalia, Chiroptera, Microchiroptera, Vespertilionidae",133,,,"fauna (mammal, bat, insectivorous)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,10,,,60507,,,2011,,cheetah,guépard,,màrú,,,,,"tì-tà: hɛ̌:yⁿ (""hyena ..."")",,,,,"ɲɔ̀rⁿɔ̀ sɔ̀gɔ̀lɔ́ (""leopard ..."")",,,,,,tàràà-sɔ̀ɔ́ⁿ,,,,,,tà:-kólóndó\\tà:-kólóndó-mbó,,,,,,,,,ŋɔ̀rkɛ́,,,"màròw zénd-ó (""leopard false"")",mà:rù,,Acinonyx jubatus,"Mammalia, Carnivora, Felidae",286,,locally extinct,"fauna (mammal, cat)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,7,,,60508,,,2011,,"caracal, 13 kg (solitary)",caracal (chat sauvage sp.),,,"nì-nìwⁿɛ̀ bárⁿà-m\\bárⁿà (""cat red"")",,òrì-jɛ̌ŋ,,sá:mà-sú:mò,,,,,"ól-gàmà (""outback-cat"")",,,cúbé,,,kìbìdú,,,,,,tàtúbà: (Mougui),,tíbíjì,tíbíjì  ,,,,,,túwɔ̀yⁿ-búyɛ́,,,,"gùn-féwré (""lion-...""), kútúrù (versus zùŋgù)",,Caracal caracal,"Mammalia, Carnivora, Felidae",280,Felis caracal,plains and rocky hills,"fauna (mammal, cat)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,1,,,60509,,,2011,,cat (domestic),chat (domestique),,,nì-nìwⁿɛ̌-m\\nì-nìwⁿɛ́,nùmǎ-m,dòndíyê,,,,nì-nìwⁿé,,dònó,gámà,gámà,gámmà,dóndó,"dòndô:, jìnà-dòndô:",,gámmá,,gámmá,gâ:ŋ,bàlmá,,gáŋà\\gáŋà-mbò,,gà:wⁿɛ́,gà:wⁿě: ,,ándó,ɲá:lì,gà:ⁿ,,túwɛ̀:ⁿ,,,hèyl-ò,hàylá,,Felis catus,"Mammalia, Carnivora, Felidae",276,,,"fauna (mammal, cat)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,2,,,60510,,,2011,,dark cat (domestic),chat de couleur foncée (domestique),,,"nì-nìwⁿɛ̀ jéwⁿè-m (""cat black"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felis catus,"Mammalia, Carnivora, Felidae",276,,,"fauna (mammal, cat)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,4,,,60511,,,2011,,"sand cat, 2-3 kg (sandy yellow, ears widely spaced)",chat des sables,,nìwⁿá,"nì-nìwⁿɛ̀ pílɛ́-m\\pílɛ́ (""cat white"")",ɔ̀rɔ̀-nùmǎ-m,dòndìyè sàrí,,"nì-nìwⁿè pírú (""cat white""), dúrúbà",nìnìwⁿɛ̀ kà:wá,,,bàrà-dònó,gàmà kɔ̀rɔ̀nɔ́,gàmà-dúrùbɔ̀,,"dòndò kùbà-jóⁿ (""cat black-footed"")",bàlà-dòndô:,,gàmmà kɔ̀rɔ̀nɔ́,,,,kàdɛ̊:,òy-gâ:ⁿ,"kɛ̀rɛ̀-gàɳà ʔɔ́:lɛ̀ (""bush-cat yellow"")",gòlò-gá:ŋá,,,,ágá ándò,,,,ná:-ŋ̀-túwɛ̀:ⁿ,,,,"hɔ̌yⁿ-hâylá (""outback-cat"")",,Felis margarita,"Mammalia, Carnivora, Felidae",278,,"sandy and rocky desert, digs burrows in sand, eats gerbils","fauna (mammal, cat)","specimens seen at Tabi, Kikara"
fauna,mammal (cat),faune,mammiphère (chat),201,63,3,,,60512,,,2011,,wild cat spp.,chat sauvage spp.,,,,,"ǒ: dóndíyè (""outback's cat"")",,"èjú-[ní-níwⁿè] (""outback cat""), nì-nìwⁿè kàwá",,,,,,,,,,,,,òlù gámmá,gà:ŋ tóló,,,kɛ̀rɛ̀-gáŋà\\kɛ̀rɛ̀-[gáŋà-mbò],,kɔ̀yⁿ gá:wⁿɛ̀,kɔ̀yⁿ gá:wⁿè  ,àgá àndù,,kɛ́-ɲǎ:lì,kɔ̀yⁿ-gà:ⁿ,,,,,"gànjì-hèylà ~ gàŋgì-hèylà (""outback-cat"")",,,Felis spp.,"Mammalia, Carnivora, Felidae",276,,,"fauna (mammal, cat)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,5,,,60513,,,2011,,wild cat. 4-5 kg (grey or buff),chat sauvage sp.,,,,,,,"nì-nìwⁿè púrúgú (""cat off.white""), nì-nìwⁿè jɛ́m (""cat black""), dùrùbà jɛ́m (""cat black"")",nìnìwⁿɛ̀ sàrú,,,,"gàmà-gɛ̂m (""cat-black"")",,,bàlà-dòndò,,,òlù gámmá,,,,,,,,,,,,,,,,,,"gùrbán-ó (not seen), tál-ò (not seen)",mɛ̀sɛ̀rɛ́,,Felis sylvestris,"Mammalia, Carnivora, Felidae",276,,closely related to domestic cat,"fauna (mammal, cat)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,6,,,60514,,,2011,,"serval cat, 12 kg (spotted; long legs, pointed ears)",serval (chat sauvage),,tɔ́rɔ́-bàsà,"nì-nìwⁿɛ̀ sɔ̀gɔ̀rɔ̌-m\\sɔ̀gɔ̀rɔ́ (""cat multicolored"")",,,,"pí-pîw, tà:-mân (""hyena-..."")",,ègú ní-níwⁿè,,,gàmà tà:-bɔ̀bɔ́,,gàmmà-sàlú,,,,,,,,,gà:ⁿ-sàl,"kɛ̀rɛ̀-gàɳà írà (""bush-cat spotted"")",kútúrú,,,,,,,,,,,,,,Leptailurus serval,"Mammalia, Carnivora, Felidae",279,Felis serval,"hunts in tall grass; forst margins, sometimes hills","fauna (mammal, cat)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,8,,,60515,,,2011,,lion,lion,,ǒw à-nú,tà-dùŋgú-m\\-dùŋgú,dùŋgú-m,yàrá,,"dùŋ-yàrá (""elephant-imitate"")",dùŋ-yàrá,dùŋ-yàrá,,yàrá,yàrá,dùŋ-yàrá,yàrá,yárá,yàrá,,yàrá,,yàrá,yàrá,dùŋ-yàrá,dùŋ-yàrà (pl -mù),"bà:nâ: dòmbà\\dòmbà-mbò, yàrá\\yàrá-mbó",dúŋgá,yárà,"yárà, námá yárà  ",ágá nárà,ágá nárà,námbálà,nà:mbàlà,,kíyɛ́,,,"gàŋgà-hàyà ~ gànjì-hàyà ~ gàŋgì-hàyà (""outback-thing"")",gún,,Panthera leo,"Mammalia, Carnivora, Felidae",284,,,"fauna (mammal, cat)",
fauna,hunters' words,faune,mots des chasseurs,201,78,1,,,60664,,,2011,,lion (hunters' word),lion (mot des chasseurs),,,,,,,yàrá-dùròmbòjú,,,,,,,,"bàlà-gàráⁿ (""outback-oldest"")",,,,,,,,,,,"kwàyⁿ-àmílì (""outback-chief"")",,,,,,,,,,,,,Panthera leo,"Mammalia, Carnivora, Felidae",284,,,"fauna (mammal, cat)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,9,,,60516,,,2011,,leopard,"léopard, panthère",,,tà-ɲɔ̀rⁿɔ̌-m\\ɲɔ̀rⁿɔ́,ɲɔ̀rⁿɔ̌-m,tà-tà: ɲɔ̀rⁿɔ́,,"tì-tà: ɲùrⁿó ~ tà: ɲùrⁿó (""hyena ..."")",tà:-nòrⁿó,ɲùrⁿó,,ɲɔ̀ŋɔ̀rⁿɔ́,ɲɔ̀rⁿɔ́,ɲùrⁿɔ́,yùnɔ́,ɲɔ́ʔɔ́nɔ́,ɲòŋònó,,pɛ̀gɛ̀lɛ́ tàràà,,tàràà pàdíɛ́,yìná,tà:-ɲùrⁿɔ́,tà: pílɛ̀,"ta᷈:\\tǎ:-mbò, tǐn-tà:\\tǐn-tà:-mbò",tá:,dɔ́lúgɔ̀,dɔ́:lgà  ,kímɛ̀,kímɛ̀,"yà:-nòlò (""night-man"")",kɔ̀mbɔ̀,,ŋɔ̀rkɛ́,,,màròw,tóndì-kɔ́rɔ̀,,Panthera pardus,"Mammalia, Carnivora, Felidae",282,,,"fauna (mammal, cat)",
fauna,mammal (other),faune,mammiphère (autre),201,69,8,,,60670,,,2011,,pig,cochon,,,,,,,tórú,tórú,tórú,,,tól,tórù,tólù,tó,"tów, jìnà-tów",,tólú,,,àlíyà,tólè:,,,,àlúwà,,,,ʔàllà,àlgà,,sìmì-ɲáŋá,,,,bìɲɲá (also warthog),,Sus scrofa,"Mammalia, Ungulata, Artiodactyla, Suidae",335,,,"fauna (mammal, cat)",
fauna,mammal (dog/fox/hyena),faune,mammiphère (chien/renard/hyène),201,64,2,,,60517,,,2011,,side-striped jackal,chacal à flanc rayé,,ǒw-ìsì:,"ɔ̀rⁿɔ̀:-ìnjɛ̌-m\\ìnjɛ́ (""outback-dog"")",ɔ̀rɔ̀ŋgɛ̌-m,"ò:-nɛ̀rⁿî (""outback-dog"")",,,òy-ìsí,ègù-ìsú,,bàrà ìsí,,,,"bàlà-ʔùjú (""bush-dog"")",bàlà-ùjû:,,"òlù-ìsé (""outback-dog"")",,,sú:ndì,òlìdé,òy-ìzè,kɛ̀rɛ̀-ŋgwɛ̌:\\-ŋgwɛ̀:-mbó,"gòlò-ínjɛ́, sù:ndú (< Ful)",kɔ̀yⁿ-ínjɛ̀,kɔ̀yⁿ ínjɛ̀ ,àgá íjɛ̀,ágá íjjɛ̀,xxx (Ful suundu),kɔ̀yⁿ-Ǹkɛ́,,ná:-ŋ̀-kúrɛ̀:,,,zòŋ-ò,,,Canis adustus adustus,"Mammalia, Carnivora, Canidae",218,,"more common in south, moister habitats","fauna (mammal, dog/jackal/fox)",
fauna,mammal (dog/fox/hyena),faune,mammiphère (chien/renard/hyène),201,64,3,,,60518,,,2011,,golden jackal,chacal commun,,tɛ́nǎm-dólù,,,,,,,,,,"òl-ìjí (""bush-dog"")",,,,,,,,,,,sɛ̀:,gúndùmbɛ́rɛ̀\\gúndùbɛ́rɛ̀-mbò,,,,,,,,,góndɛ̀:,,,gùrbán-ó [verify id],,,Canis aureus,"Mammalia, Carnivora, Canidae",218,,"hide seen: Tabi; dry habitats, often near villages","fauna (mammal, dog/jackal/fox)",
fauna,mammal (dog/fox/hyena),faune,mammiphère (chien/renard/hyène),201,64,1,,,60662,,,2011,,dog,chien,,,,,,,"èjù-ìjú (""outback-dog"")",,,,,ìjú,ìjú,ìdú,ʔùjú,"ùjú:, jìnà-ùjû:",,ìsé,,,,ìnjɛ́:,,,,ínjɛ̀,,,,ʔínjɛ̀,ŋkɛ̀,,,,,háns-ó,hánsì,,Canis lupus familiaris,"Mammalia, Carnivora, Canidae",226,,,"fauna (mammal, dog/jackal/fox)",
fauna,mammal (dog/fox/hyena),faune,mammiphère (chien/renard/hyène),201,64,4,,,60519,,,2011,,jackal (2 spp.),chacal (2 esp.),,ǒw-ìsì:,,,,,"èjù-ìjú (""outback-dog"")",,,,,,"òrù-ìjú (""bush-dog"")","ògùlù-ìdú (""bush-dog"")",,,,òlú ìsè,,òlú ìsè,,,,,,,,,,,,,,,,zòŋ-ò,zɔ̌:ⁿ,,Canis spp.,"Mammalia, Carnivora, Canidae",218,,,"fauna (mammal, dog/jackal/fox)",
fauna,mammal (dog/fox/hyena),faune,mammiphère (chien/renard/hyène),201,64,5,,,60520,,,2011,,wild dog,"chien sauvage, lycaon",,àⁿsámà-sú:mà,,,,,,,,,,sámà-súmɔ̀,,ìdù kɔ́rɔ̀,,,,,,,,,,tùmbùlè kègélè\\kègêl-mbò,,,,,,,,,,,,húhùl-ò,bǒy,,Lycaon pictus,"Mammalia, Carnivora, Canidae",226,,locally extinct,"fauna (mammal, dog/jackal/fox)",
fauna,mammal (dog/fox/hyena),faune,mammiphère (chien/renard/hyène),201,64,6,,,60521,,,2011,,"sand fox, pale fox","renard des sables, renard pâle",,íwěy,yǔ:rù-m\\yǔ:rù,yǔ:rù-m,yùrùgí,,yùrùgú,yùrùgú,yùrùgú,,yùrùgú,yùrùgú,yùrùgú,yùrùgú,yùrùgú,yùrùgû:,,yùlùgú,,,yúlú-gú,yùlgú,yùrùgù,yùrùgú\\yùrùgú-mbó,yúlúgú,yúlúgù,yúlúgù  ,túwéré,túwéré,yúgúlù,,,dɔ̀rɔ̀-dɔ́rɛ̀:,,,zùŋg-ò,zùŋgù,,Vulpes pallida,"Mammalia, Carnivora, Canidae",223,,,"fauna (mammal, dog/jackal/fox)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,13,,,60728,,,2011,,addax (desert antilope),addax (antilope du désent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Addax nasomaculatus,"Mammalia, Artiodactyla",443,,,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,7,,,60522,,,2011,,"korrigum (antelope close to topi), 100 kg (horselike, glossy; long horns curving backward then forward, black patch on upper legs, ochre-colored lower legs)",damalisque (antilope),,sɔ̀ŋɔ́,sɔ̀ŋgɔ̌-m\\sɔ̀ŋgɔ́,,,,sɔ̀ŋɔ́,káyⁿ xxx,sɔ̀ŋɔ́,,,sɔ̀ŋɔ́,xxx,xxx,,,,xxx,,òlú jàndùlù [see zebra JH],báttà,sɔ̀ŋgɔ́,wàlè xxx,"m̀bárògà\\m̀bárògà-mbò, ɲáwⁿà-síyà\\ɲáwⁿà-síyà-mbò",,[see roan],kâw xxx,kújúmá,kújúmá,,gùlmbò,,,,,"jér kâ:rêy (""gazelle white"")",tɛ́ndɛ́rbà [verify],,Damaliscus lunatus korrigum,"Mammalia, Artiodactyla, Bovidae, Alcelaphinae",427,,seasonally flooded grasslands,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,3,,,60524,,,2011,,"dama gazelle, 1 m shoulder height, 40-75 kg (face and belly white, red-brown top, short curled horns)","gazelle dama, biche robert",,,"ɔ̀rⁿɔ̀:-bɛ́rì-m (""outback-goat"")",,,,"èjù-ɛ̀rⁿɛ́ (""outback-..."")",,,,,,,,,,,,,,kálgì,,,"m̀bá:gàmbú:là\\m̀bá:gàmbú:là-mbò, téndèlbà (Mougui)",,,,gɛ́dí,gédí,gɛ̀rì (larger than kiji),,,,,,sò:,sèw [verify],,Gazella dama,"Mammalia, Artiodactyla, Bovidae, Antelopinae, Antilopini",415,,biggest gazelle; formerly in large herds (seasonal); locally extinct,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,2,,,60525,,,2011,,"dorcas gazelle, 60 cm shoulder height, 15-20 kg (long ears, horns have annular rings and converge at top",gazelle dorcas,,,,,,,"wèrù bán (""gazelle red"", Madougou)",,,,,,,,,,,,,,,,,gɛ̌:rɛ̀\\gɛ̌:rɛ̀-mbò,,,,,,,,,,,,,,,Gazella dorcas,"Mammalia, Artiodactyla, Bovidae, Antelopinae, Antilopini",410,,"smallest gazelle; dry subdeserts, north","fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,1,,,60526,,,2011,,"red-fronted (=Thomson's) gazelle, 70 cm shoulder height, 20-35 kg (black streak on flank, black streak eyes to nose, black tail with white rump, undulating horns with annulations)",gazelle à front rouge,,írú,wéré-m\\wéré,wéré-m,,,"wírú, wérú (Madougou)",wéré,wírú,,wírí,wíl,wérú,wílù,wú:,wǔ:,,wílú,,wíl,wúlè:-gù,wílɛ̀:,wíl,"gɛ̌:rɛ̀\\gɛ̌:rɛ̀-mbò, gɛ̀:rɛ̀-kálé\\-[kál-mbó], kálé\\kál-mbó",gɛ́rí,gɛ́rú,gérú ,kíjì,kíjì,kíjì,jɛ́r,,"ná:-m̀-bíⁿ (""bush-goat"")",,,jér-ó,gérì,,Gazella rufifrons rufifrons,"Mammalia, Artiodactyla, Bovidae, Antelopinae, Antilopini",412,,most common local gazelle,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,4,,,60527,,,2011,,"bush duiker, 45-70 cm shoulder height, 15-20 kg (goatlike, males with short vertical horns o 18 cm, can leap)",céphalophe couronné (antilope),,lósó,lósù-m\\lósù,dúsù-m,"ò:-mírⁿɛ̂ (""outback-goat"")",,"ló:jú, lò:jù jɛ́m (""duiker black"", Madougou)",ló:sú,,,lójú,yójù,lójù,yódù,lòjú,lòjú,,"yòòdú, òlú pèdù",,òlù pédú,nónjù-gù,lóbdè,lòzú,nǒnjè\\nǒnjù-mbò,kí:,kíjì,kíjì  ,,,kíjì,kíjí,,gɛ́rɛ̀,,,,kìɲɲɛ̀y (eq. with Ful hampurde),,Sylvicapra grimmia,"Mammalia, Artiodactyla, Bovidae, Antelopinae, Cephalophini",368,,in mountains,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,5,,,60530,,,2011,,"orebi, 45-60 cm shoulder height, 7-16 kg (goatlike, short vertical horns)",ourébi,,,,,ló:sì,,ùwⁿɔ́ (Madougou),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ourebia ourebi quadriscopa,"Mammalia, Artiodactyla, Bovidae, Antelopinae, Neotragini",389,,grasslands esp. trampled by herds,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,10,,,60531,,,2011,,"waterbuck, 1.2 m shoulder height, 200 kg (long horns, curled gently forward)",cobe defassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobus ellipsiprymnus,"Mammalia, Artiodactyla, Bovidae, Antelopinae, Reduncini",408,,well-watered valleys,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,11,,,60532,,,2011,,"bohor reedbuck, 65-89 cm shoulder height, 40-60 kg (short horns, curled forward)",redunca (antilope),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Redunca redunca,"Mammalia, Artiodactyla, Bovidae, Antelopinae, Reduncini",402,,seasonaly flooded tall grasslands,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,8,,,60529,,,2011,,"bushbuck, 61-100 cm shoulder height, reddish with white markings",antilope harnaché,,,,,,,"ègè-ɛ̀rⁿɛ́ ~ èjù-ɛ̀rⁿɛ́ (""bush-goat""), èjù-bɛ̀rú (""bush-goat"", Fombori)",,,,,"òl-ɛ̀rⁿɛ́ (""bush-goat"")",xxx,kàràndá,ká,úwéyⁿ,,kárándá,,,ɔ̀yⁿɔ́,,,,káló,káló,,káró,kárɔ́,kàlò,káló,,búwɔ̀:,,,,,,Tragelaphus scriptus scriptus,"Mammalia, Artiodactyla, Bovidae, Bovinae",352,,,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,9,,,60523,,,2011,,legendary antilope with complex curving horns,mouflon à manchettes,,wàrú,wàrú-m\\wàrú,,wàrí,,wàrú,,wàrú,,wàrú,,,,,,,wàlú,,,,,,,,,,,,,,,,,,,,,(cf. Ammotragus lervii among others),"Mammalia, Artiodactyla, Bovidae, Caprinae",444,,,"fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,6,,,60528,,,2011,,"roan antelope, 1.3 m shoulder height, 250 kg (heavy fur, mane, black-tipped tail and ears)","hippotrague, rouanne (antilope)",,,,kǎ-m\\kǎ:,,,káyⁿ,,káyⁿ,,kǎ:ⁿ,ká:ⁿ,kǎ:ⁿ,kǎ:,kó:,ków,,kàáⁿ,,,kà: tólò,ká:ⁿ,kà:,kàyé,káwó,kâw,,,,kâw (Ful kooba),kàw,,kɔ̀:bá,,,"gàŋjì-fárká (""outback-donkey"")",,,Hippotragus equinus koba,"Mammalia, Artiodactyla, Bovidae, Hippotraginae",437,,"thinly treed grasslands, about 10 to a herd)","fauna (mammal, gazelle/antelope)",
fauna,mammal (gazelle/antelope),faune,mammiphère (biche/antilope),201,65,12,,,60727,,,2011,,scimitar-horned oryx (desert antilope),oryx (antilope du désent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oryx dammah,"Mammalia, Artiodactyla, Bovidae, Hippotraginae",441,,,"fauna (mammal, gazelle/antelope)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,12,,,60533,,,2011,,civet,civette,,,,,,,,,,,,,,,cúmí,,,,,,,,,,tùmù,"[none, cf. genet]",kɔ́rɔ́ndɔ̀ ,,,,,,kùŋgùrú,,,zíbdâ,"gáy-dɔ́:bâl (""...-bustard"")",,Civettictis civetta,"Mammalia, Carnivora, Viverridae",272,,,"fauna (mammal, genet/civet)",
fauna,mammal (cat),faune,mammiphère (chat),201,63,10,,,60534,,,2011,,genet,genette,,kòlùrú,kòlòrǒ-m\\kòlòró,zímbì-m,kòròní,,"kòròní, nì-nìwⁿè kòròní, kònùrⁿú",kòrǒn,,,bàrà-dònó,,gàmà kòrⁿònɔ́,gàmmà-kɔ̀nɔ̀nɔ́,kóró,,,tìmɛ́ gàmmà-kɔ̀rɔ̀nɔ̀,,,kɔ́rɔ́nnɔ́,kònònɛ̌:,,kɔ̀rɔ̀ndɔ́\\kɔ̀rɔ̀ndɔ́-mbó,gà:ŋà-kɔ́rɔ́nɔ́,kɔ́rɔ́ndɔ̀,,síyɛ̀,síyɛ̀,kɔ̀rɔ̀nɔ́,kɔ̀rɔ̀ᶁɔ̀,,kɔ́rɔ́,,,,,,Genetta genetta,"Mammalia, Carnivora, Viverridae",267,,,"fauna (mammal, genet/civet)",killed specimen photographed at Tabi 2008
fauna,mammal (cat),faune,mammiphère (chat),201,63,11,,,60535,,,2011,,Hausa genet,genette de Thierry,,,,,,,"kònùrⁿù bán (""genet red"", Madougou)",,,,,,,,,,,,,,,,,túŋɛ́\\túŋɛ́-mbó,,,,síyɛ̀,síyɛ̀,,,,,,,,,,Genetta thierryi,"Mammalia, Carnivora, Viverridae",271,,,"fauna (mammal, genet/civet)",
fauna,mammal (other),faune,mammiphère (autre),201,69,17,,,60539,,,2011,,hare (all forms),lièvre (toutes formes),,zɔ̀mɛ̌yⁿ,jɔ̌:ⁿ-m\\jɔ̌:ⁿ,zɔ̀mɔ̌-m,jɔ̀mɔ́,,jɔ̀ŋɔ́,jɔ̀wⁿɔ́,zɔ̀ŋɔ́,,jɔ̀wⁿɔ́,árjòⁿ,jɔ̌:ⁿ,jɔ̀mɔ́,ʔɛ̀ní-jèmɛ́,ɛ̀ní-jɛ̀mɛ̂:,,jɔ̀mɔ́,,jɔ̀mɔ́,jámà,zòmó,zòmɔ́,jɔ́mɛ́\\jɔ́:-mbó,yɔ̀:mɛ̀,jɔ́mɛ̀,jɔ́mɛ̀  ,jóŋ,jôw,jɔ̀mɛ́,jɔ́mɛ̀,,gírímɛ̀,,,tàb-íy-à:,tàběy,,Lepus cf. capensis (all forms),"Mammalia, Lagomorpha",154,,,"fauna (mammal, hare)",
fauna,mammal (other),faune,mammiphère (autre),201,69,18,,,60536,,,2011,,"hare variety (darker, bigger)","lièvre (plus gros, de couleur plus foncée)",,zɔ̀mɛ̀yⁿ jɛ́m,"jɔ̀:ⁿ púrúgú-m\\púrúgú (""hare off.white"")",zɔ̀mɔ̀ bárⁿà-m,"jɔ̀mɔ̀ púrúgí (""hare off-white"")",,"jɔ̀ŋɔ̀ jɛ́m (""hare black"")",jɔ̀wⁿɔ̀ púrgú,,,jɔ̀wⁿɔ́,,,,,,,jɔ̀mɔ̀ gɛ́m,,,,,,"jɔ̀mɛ̀ ɔ́:là\\ɔ́:là-mbò (""hare yellow"")",,,,,,,,,,,,,,,"Lepus cf. capensis (darker, larger)","Mammalia, Lagomorpha",154,,,"fauna (mammal, hare)",
fauna,mammal (other),faune,mammiphère (autre),201,69,19,,,60537,,,2011,,"hare variety (lighter-colored, smaller)","lièvre (plus clair, plus petit)",,zɔ̀mɛ̀yⁿ pírú,jɔ̌:ⁿ-m\\jɔ̌:ⁿ,zɔ̀mɔ̀ píndé-m,"jɔ̀mɔ̀ bárⁿí (""hare red"")",,"jɔ̀ŋɔ̀ pìr-î:ⁿ (""hare white-child"")",jɔ̀wⁿɔ̀ sátéllè,,,jɔ̀wⁿɔ̀ pìríⁿ,,,,,,,jɔ̀mɔ̀ pìlì-ý,,,,,,"jɔ̀mɛ̀ pílɛ̀\\pílɛ̀-mbò (""hare white"")",,,,,,,,,,,,,,,"Lepus cf. capensis (lighter-colored, smaller)","Mammalia, Lagomorpha",154,,,"fauna (mammal, hare)",
fauna,mammal (other),faune,mammiphère (autre),201,69,20,,,60538,,,2011,,hare variety (multicolored),lièvre (multicolore),,,,,,,,,,,,,,,,,,,,,,,,jɔ̀mɛ̀ kɛ́ràwà\\kɛ́ràwà-mbò,,,,,,,,,,,,,,,Lepus cf. capensis (multicolored),"Mammalia, Lagomorpha",154,,,"fauna (mammal, hare)",
fauna,mammal (other),faune,mammiphère (autre),201,69,21,,,60540,,,2011,,young hare,"levreau, jeune lièvre",,,,,,,"jɔ̀ŋɔ̀-î:ⁿ (""hare-child"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mammalia, Lagomorpha",154,,,"fauna (mammal, hare)",
fauna,mammal (dog/fox/hyena),faune,mammiphère (chien/renard/hyène),201,64,7,,,60541,,,2011,,spotted hyena,hyène tachetée,,,tì-tà: kɔ́ŋɔ́rⁿɔ́-kɔ̂yⁿ,tǎ-m̀\\tǎ̀:,,,"tì-tà: wɛ̌yⁿ-wèyⁿ ~ tì-tà: yêy-yêy (""hyena onomat."")",búrgù tà-tà:,tì-tà: pìrⁿî:,,,,,,tà:,,,"tàràà jàndùlù-dǎy (""hyena donkey-kill"")",,tàràà pílú,tàwà: nì:nú,tà: wánsùrù,tà: kóŋórⁿó-kɔ̀yⁿ,sórùwá:gè\\sórùwá:gì-mbò,tùmbùlè,tâ:,tâ: ,kúmání,,ká:yⁿè,"tà:ⁿ bàyⁿ (""hyena big"")",,ná:-ǹ-tù:rɛ́,,,,"bákà-léɾù, kɔ́rɔ́ bè:rì (""hyena big"")",,Crocuta crocuta,"Mammalia, Carnivora, Hyaenidae",262,,,"fauna (mammal, hyena)",
